Camp Name,Date Range,Days,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Dolphin,Starts 5/11/2026,Friday,8:30 AM,Dolphin (Intermediate),8:30 AM – 9:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,8:30 AM,Guppy (Beginner),8:30 AM – 9:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,8:45 AM,Private 15-min,8:45 AM – 9:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,9:00 AM,Dolphin (Intermediate),9:00 AM – 9:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,9:00 AM,Guppy (Beginner),9:00 AM – 9:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,1,1,0,1:1
Private 30-min,,Friday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,9:15 AM,Private 15-min,9:15 AM – 9:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,9:30 AM,Dolphin (Intermediate),9:30 AM – 10:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,9:30 AM,Guppy (Beginner),9:30 AM – 10:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,10:00 AM,Dolphin (Intermediate),10:00 AM – 10:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,10:00 AM,Guppy (Beginner),10:00 AM – 10:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,10:30 AM,Dolphin (Intermediate),10:30 AM – 11:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,10:30 AM,Guppy (Beginner),10:30 AM – 11:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,3:00 PM,Private 15-min,3:00 PM – 3:15 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,3:15 PM,Private 15-min,3:15 PM – 3:30 PM,1,1,0,1:1
