Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Friday,8:30 AM,Clownfish (Beginner),8:30 AM – 9:00 AM,2,3,1,3:1
Friday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Friday,9:00 AM,Starfish (Beginner),9:00 AM – 9:30 AM,2,6,4,6:1
Friday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,0,1,1,1:1
Friday,9:15 AM,Private 15-min,9:15 AM – 9:30 AM,0,1,1,1:1
Friday,9:30 AM,Seahorse (Beginner),9:30 AM – 10:00 AM,3,3,0,3:1
Friday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,0,1,1,1:1
Friday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,0,1,1,1:1
Friday,10:00 AM,Clownfish (Beginner),10:00 AM – 10:30 AM,0,3,3,3:1
Friday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,1,1,0,1:1
Friday,10:30 AM,Manatee (Intermediate),10:30 AM – 11:00 AM,0,6,0,6:1
Friday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,0,1,1,1:1
Friday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,0,1,1,1:1
Friday,11:00 AM,Seahorse (Beginner),11:00 AM – 11:30 AM,4,3,0,3:1
Friday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,1,1,0,1:1
Friday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,0,1,1,1:1
Friday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,0,1,1,1:1
Friday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,0,1,1,1:1
Friday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,0,1,1,1:1
Friday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,0,1,1,1:1
Friday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Friday,4:00 PM,Clownfish (Beginner),4:00 PM – 4:30 PM,1,3,2,3:1
Friday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,0,1,1,1:1
Friday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Friday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,0,1,1,1:1
Friday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,0,1,1,1:1
Friday,4:30 PM,Marlin (Intermediate),4:30 PM – 5:00 PM,1,4,3,4:1
Friday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Friday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Friday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,1,1,0,1:1
Friday,4:45 PM,Private 15-min,4:45 PM – 5:00 PM,0,1,1,1:1
Friday,5:00 PM,Barracuda (Advanced),5:00 PM – 5:30 PM,2,4,2,4:1
Friday,5:00 PM,Clownfish (Beginner),5:00 PM – 5:30 PM,2,3,1,3:1
Friday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,1,1,0,1:1
