class,level,kind,day,time,openings,derived_capacity,est_enrolled,status,tuition,class_starts
Adult 1 - 24KM - 1 Sat,Adult 1,semi,Sat,1:00pm - 1:30pm,0,2,2,Waitlist,268.00,06/15/2025
Adult 1 - 24KM - 7 Thu,Adult 1,semi,Thu,7:00pm - 7:30pm,0,2,2,Waitlist,268.00,03/17/2025
Adult 2 - 24KM - 7 Tue,Adult 2,semi,Tue,7:00pm - 7:30pm,0,2,2,Waitlist,268.00,06/15/2025
Minnow - 24KM - 1230 Sat,Minnow,group,Sat,12:30pm - 1:00pm,3,4,1,Register,156.00,06/15/2025
Minnow - 24KM - 4 Thu,Minnow,group,Thu,4:00pm - 4:30pm,1,4,3,Register,156.00,03/17/2025
Minnow - 24KM - 530 Thu,Minnow,group,Thu,5:30pm - 6:00pm,2,4,2,Register,156.00,03/17/2025
Minnow - 24KM - 630 Thu,Minnow,group,Thu,6:30pm - 7:00pm,3,4,1,Register,156.00,03/17/2025
Minnow - 24KM - 7 Thu - Private,Minnow,private,Thu,7:00pm - 7:30pm,0,1,1,Waitlist,500.00,03/17/2025
Minnow - 24KM - 730 Thu - Private,Minnow,private,Thu,7:30pm - 8:00pm,0,1,1,Waitlist,500.00,03/17/2025
Seahorse - 24KM - 10 Sat,Seahorse,group,Sat,10:00am - 10:30am,0,4,4,Waitlist,156.00,06/15/2025
Shark 1 - 24KM - 11 Sat Semi Private,Shark 1,semi,Sat,11:00am - 11:30am,1,2,1,Register,268.00,10/05/2025
Starfish - 24KM - 1130 Sat - Private,Starfish,private,Sat,11:30am - 12:00pm,0,1,1,Waitlist,500.00,03/17/2025
Starfish - 24KM - 9 Sat,Starfish,group,Sat,9:00am - 9:30am,3,4,1,Register,156.00,06/15/2025
Starfish - 24KM - 3 Thu - Private,Starfish,private,Thu,3:00pm - 3:30pm,0,1,1,Waitlist,500.00,06/15/2025
Starfish - 24KM - 330 Thu,Starfish,group,Thu,3:30pm - 4:00pm,2,4,2,Register,156.00,03/17/2025
Starfish - 24KM - 4 Thu - Private,Starfish,private,Thu,4:00pm - 4:30pm,0,1,1,Waitlist,500.00,03/17/2025
Starfish - 24KM - 430 Thu,Starfish,group,Thu,4:30pm - 5:00pm,3,4,1,Register,156.00,03/17/2025
Starfish - 24KM - 5 Thu Private,Starfish,private,Thu,5:00pm - 5:30pm,0,1,1,Waitlist,500.00,02/24/2025
Starfish - 24KM - 530 Thu,Starfish,group,Thu,5:30pm - 6:00pm,1,4,3,Register,156.00,03/17/2025
Starfish - KM - 630 Thu - Private,Starfish,private,Thu,6:30pm - 7:00pm,0,1,1,Waitlist,500.00,03/17/2025
Starfish - 24KM - 3 Tue,Starfish,group,Tue,3:00pm - 3:30pm,2,4,2,Register,156.00,03/17/2025
Starfish - 24KM - 430 Tue - Private,Starfish,private,Tue,4:30pm - 5:00pm,0,1,1,Waitlist,500.00,03/17/2025
Starfish - 24KM - 5 Tue - Private,Starfish,private,Tue,5:00pm - 5:30pm,0,1,1,Waitlist,500.00,03/17/2025
Starfish - 24KM - 530 Tue - Private,Starfish,private,Tue,5:30pm - 6:00pm,0,1,1,Waitlist,500.00,03/17/2025
Starfish - 24KM - 6 Tue - Private,Starfish,private,Tue,6:00pm - 6:30pm,0,1,1,Waitlist,500.00,03/17/2025
Swimboree - 24KM - 12 Sat,Swimboree,group,Sat,12:00pm - 12:30pm,1,4,3,Register,156.00,06/15/2025
Tadpole - 24KM - 930 Sat,Tadpole,group,Sat,9:30am - 10:00am,1,6,5,Register,156.00,06/15/2025
Turtle 1 - 24KM - 1030 Sat,Turtle 1,group,Sat,10:30am - 11:00am,1,4,3,Register,156.00,06/15/2025
Turtle 1 - 24KM - 330 Thu xo 9.3,Turtle 1,group,Thu,3:30pm - 4:00pm,0,4,4,Waitlist,156.00,03/17/2025
Turtle 1 - 24KM - 430 Thu - Private,Turtle 1,private,Thu,4:30pm - 5:00pm,0,1,1,Waitlist,500.00,03/17/2025
Turtle 1 - 24KM - 6 Thu,Turtle 1,group,Thu,6:00pm - 6:30pm,3,4,1,Register,156.00,03/17/2025
Turtle 1 - 24KM - 330 Tue,Turtle 1,group,Tue,3:30pm - 4:00pm,3,4,1,Register,156.00,03/17/2025
Turtle 2 - 24KM - 130 Sat,Turtle 2,group,Sat,1:30pm - 2:00pm,4,4,0,Register,156.00,06/15/2025
Turtle 2 - 24KM - 6 Thu,Turtle 2,group,Thu,6:00pm - 6:30pm,2,4,2,Register,156.00,03/18/2025
Turtle 2 - 24KM - 4 Tue xo 9/1,Turtle 2,group,Tue,4:00pm - 4:30pm,0,4,4,Waitlist,156.00,03/17/2025
Turtle 2 - 24KM - 630 Tue,Turtle 2,group,Tue,6:30pm - 7:00pm,4,4,0,Register,156.00,03/18/2025
Young Adult - 24KM - 5 Thu Private,Young Adult,private,Thu,5:00pm - 5:30pm,0,1,1,Waitlist,500.00,03/17/2025
